weight,source,target
1,Albania,Bulgaria
1,Albania,Greece
1,Albania,Hungary
1,Albania,Poland
1,Albania,Romania
1,Algeria,Morocco
1,Australia,Canada
1,Australia,Philippines
1,Austria,France
1,Austria,Germany
1,Austria,Hungary
1,Belarus,Ukraine
1,Bulgaria,Hungary
1,Bulgaria,Poland
1,Bulgaria,Romania
1,Cambodia,Laos
1,Cambodia,Vietnam
1,Canada,Japan
1,Canada,Russia
1,Cuba,Mongolia
1,Cuba,Vietnam
2,Denmark,Norway
1,Egypt,Libya
1,Estonia,Finland
2,Estonia,Latvia
2,Estonia,Lithuania
1,Estonia,Romania
1,Finland,Germany
1,Finland,Latvia
1,Finland,Lithuania
1,Finland,Romania
3,France,Germany
1,France,Hungary
1,France,India
1,France,Israel
1,France,Pakistan
2,France,Poland
1,France,Russia
3,Germany,Italy
2,Germany,Japan
1,Germany,Norway
3,Germany,Poland
1,Germany,Russia
1,Germany,Sweden
1,Ghana,Kenya
1,Hungary,Poland
1,Hungary,Romania
1,India,Israel
1,India,Japan
2,India,Pakistan
1,India,Russia
1,Iran,Iraq
1,Iran,Libya
1,Israel,Pakistan
1,Israel,Russia
1,Israel,South Africa
2,Italy,Japan
1,Japan,Philippines
2,Japan,Russia
1,Japan,Singapore
1,Japan,Solomon Islands
1,Japan,Thailand
1,Laos,Vietnam
2,Latvia,Lithuania
1,Latvia,Romania
1,Lithuania,Romania
1,Luxembourg,Netherlands
1,Mongolia,Vietnam
1,Pakistan,Russia
1,Philippines,Singapore
1,Philippines,Thailand
1,Poland,Romania
1,Romania,Russia
1,Singapore,Thailand
